pool,chain,project,symbol,tvlUsd,apyBase,apyReward,apy,rewardTokens,apyPct1D,apyPct7D,apyPct30D,stablecoin,ilRisk,exposure,poolMeta,mu,sigma,count,outlier,underlyingTokens,il7d,apyBase7d,apyMean30d,volumeUsd1d,volumeUsd7d,apyBaseInception,predictedClass,predictedProbability,binnedConfidence
9f3a6015-5045-4471-ba65-ad3dc7c38269,BSC,venus,USDT,44437964,4.42296,0.05363,4.47659,['0xcf6bb5389c92bdda8a3747ddb454cb7a64626c63'],-0.62516,1.64558,2.44202,True,no,single,,2.99749,0.10056,402,False,['0x55d398326f99059fF775485246999027B3197955'],,,3.40902,,,,Down,60.0,1.0
a2e7bb87-b339-44d9-91d7-87a04552afe9,BSC,stargate,USDT,38236112,,4.84981,4.84981,['0xB0D502E938ed5f4df2E681fE6E419ff29631d62b'],0.02155,0.06114,-0.6307,True,no,single,,5.53311,0.06648,345,False,['0x55d398326f99059fF775485246999027B3197955'],,,4.70616,,,,Stable/Up,54.0,1.0
282baaa9-11ef-4e72-8ade-efe0c43c07cc,BSC,pancakeswap-amm-v3,USDT-USDC,38055152,0.27813,,0.27813,,0.27048,0.03392,0.14343,True,no,multi,0.05%,0.27953,0.03922,99,False,"['0x55d398326f99059ff775485246999027b3197955', '0x8ac76a51cc950d9822d68b83fe1ad97b32cd580d']",-1e-05,0.0,0.15965,579960.93806,4151103.81668,,Stable/Up,71.0,2.0
9f0f4cbd-5a26-4eb8-b720-3691b42b0e56,BSC,pancakeswap-amm-v3,USDT-BUSD,20049044,1.3348,16.62985,17.96465,['0x0E09FaBB73Bd3Ade0a17ECC321fD13a19e81cE82'],0.66654,-43.62624,13.06377,True,no,multi,0.01%,9.58271,0.27732,120,False,"['0x55d398326f99059ff775485246999027b3197955', '0xe9e7cea3dedca5984780bafc599bd69add087d56']",-4e-05,0.89352,10.6419,7331891.95864,51373203.52103,,Down,95.0,3.0
03ded5d7-ded8-49b6-bd3c-2f48c30923be,BSC,alpaca-leveraged-yield-farming,USDT,17802142,,,3.25,,-0.02786,-0.27656,0.61568,True,no,single,,3.93536,0.27552,456,False,['0x55d398326f99059ff775485246999027b3197955'],,,3.12454,,,,Stable/Up,68.0,2.0
5f2e32ac-fa1a-468f-98f5-ef5a8f5b07f3,BSC,alpaca-leveraged-yield-farming,BUSD,15410300,,,5.36283,,0.00158,0.9648,1.5485,True,no,single,,3.3488,0.06657,456,False,['0xe9e7cea3dedca5984780bafc599bd69add087d56'],,,4.58589,,,,Down,80.0,3.0
8e1300db-21a5-4a27-bf3f-5788236df4eb,BSC,radiant-v2,USDT,13092514,2.35935,,2.35935,,-0.13881,-0.25931,0.21491,True,no,single,,2.36378,0.01558,59,False,['0x55d398326f99059fF775485246999027B3197955'],,,2.34575,,,,Stable/Up,69.0,2.0
89eba1e5-1b1b-47b6-958b-38138a04c244,BSC,venus,USDC,12253479,9.35885,0.16855,9.5274,['0xcf6bb5389c92bdda8a3747ddb454cb7a64626c63'],0.61054,2.54186,7.62847,True,no,single,,3.71241,0.11652,402,False,['0x8AC76a51cc950d9822D68b83fE1Ad97B32Cd580d'],,,5.38483,,,,Down,89.0,3.0
483533e6-3112-44a1-beae-7cae023065a6,BSC,venus,BUSD,11282916,4.6162,0.21008,4.82628,['0xcf6bb5389c92bdda8a3747ddb454cb7a64626c63'],-0.6275,0.76542,2.57922,True,no,single,,3.0236,0.09041,402,False,['0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56'],,,3.74869,,,,Down,65.0,2.0
f0a283bc-55a2-4b09-bb85-28f7fde6f16d,BSC,alpaca-leveraged-yield-farming,IBBUSD,10680506,,,0.0,,0.0,0.0,0.0,True,no,single,,0.1282,0.00682,456,False,[],,,0.0,,,,,,
a01b3fdd-9c16-4f6f-ade0-a14a5b1187f9,BSC,alpaca-leveraged-yield-farming,IBBTCB,8392802,,,0.0,,0.0,0.0,0.0,False,no,single,,0.30872,0.01691,456,False,[],,,0.0,,,,,,
7e5c4afb-38fb-42ff-a033-19712c4e5911,BSC,alpaca-leveraged-yield-farming,IBBNB,7955280,,,0.0,,0.0,0.0,0.0,False,no,single,,0.08182,0.0044,456,False,[],,,0.0,,,,,,
