pool,chain,project,symbol,tvlUsd,apyBase,apyReward,apy,rewardTokens,apyPct1D,apyPct7D,apyPct30D,stablecoin,ilRisk,exposure,poolMeta,mu,sigma,count,outlier,underlyingTokens,il7d,apyBase7d,apyMean30d,volumeUsd1d,volumeUsd7d,apyBaseInception,predictedClass,predictedProbability,binnedConfidence
3f6aa14f-eb0c-4738-bf74-8bc666f7d2b1,Ethereum,curve-dex,FRAX-USDC,457423468,0.03295,1.70041,1.73337,['0xD533a949740bb3306d119CC777fa900bA034cd52'],0.2726,0.04778,0.49675,True,no,multi,,1.66219,0.08424,386,False,"['0x853d955aCEf822Db058eb8505911ED77F175b99e', '0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48']",-7e-05,,2.27089,,,,Stable/Up,59.0,1.0
bd072651-d99c-4154-aeae-51f12109c054,Ethereum,convex-finance,FRAX-USDC,410916855,0.03295,2.29041,2.32336,"['0xd533a949740bb3306d119cc777fa900ba034cd52', '0x4e3fbd56cd56c3e72c1403e103b45db9da5b9d2b']",0.03927,-0.06783,0.37226,True,no,multi,,2.81779,0.12038,378,False,"['0x853d955aCEf822Db058eb8505911ED77F175b99e', '0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48']",,,5.09188,,,,Stable/Up,60.0,1.0
25171c4c-1877-449a-9f88-45a9f153ee31,Ethereum,curve-dex,DAI-USDC-USDT,221891934,0.61976,0.96609,1.58585,['0xD533a949740bb3306d119CC777fa900bA034cd52'],-0.43829,0.07531,0.47654,True,no,multi,,0.98627,0.04171,545,False,"['0x6B175474E89094C44Da98b954EedeAC495271d0F', '0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48', '0xdAC17F958D2ee523a2206206994597C13D831ec7']",-3e-05,,1.30319,,,,Stable/Up,68.0,2.0
1193ef25-862b-43c1-a545-91bbb9678d30,Ethereum,uniswap-v3,DAI-USDC,107134139,0.60336,,0.60336,,,0.40855,0.35881,True,no,multi,0.01%,0.29879,0.0268,497,False,"['0x6b175474e89094c44da98b954eedeac495271d0f', '0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48']",-0.00102,0.07352,0.29823,17709675.38478,75579199.22542,,Stable/Up,66.0,2.0
94c6fd56-9837-4202-9ece-db02a9ac1171,Ethereum,arrakis-v1,DAI-USDC,106784145,0.41452,,0.41452,,0.0,-0.05969,0.2168,True,no,multi,,0.59741,0.04753,398,False,"['0x6b175474e89094c44da98b954eedeac495271d0f', '0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48']",,,0.28066,,,,Stable/Up,79.0,3.0
cc110152-36c2-4e10-9c12-c5b4eb662143,Ethereum,compound,DAI,95353010,2.28095,0.97771,3.25865,['0xc00e94cb662c3520282e6f5717214004a7f26888'],0.09087,-0.93356,-0.73467,True,no,single,,2.25883,0.03844,546,False,['0x6B175474E89094C44Da98b954EedeAC495271d0F'],,,3.75897,,,,Down,69.0,2.0
d371fc69-9a77-4336-a129-ec79c9548266,Ethereum,uniswap-v3,FRAX-USDC,89966654,0.03123,,0.03123,,,-0.348,0.0247,True,no,multi,0.05%,0.28285,0.05617,541,False,"['0x853d955acef822db058eb8505911ed77f175b99e', '0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48']",-0.00586,0.0,0.12832,153971.63703,4244484.58211,,Stable/Up,75.0,2.0
e737d721-f45c-40f0-9793-9f56261862b9,Ethereum,uniswap-v3,USDC-USDT,83945669,2.02614,,2.02614,,,0.78252,-0.05735,True,no,multi,0.01%,4.07417,0.33054,497,False,"['0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48', '0xdac17f958d2ee523a2206206994597c13d831ec7']",-0.00026,0.0,1.38553,46598790.31859,261230551.67935,,Stable/Up,70.0,2.0
cefa9bb8-c230-459a-a855-3b94e96acd8c,Ethereum,compound,USDC,80819886,3.33898,0.69537,4.03435,['0xc00e94cb662c3520282e6f5717214004a7f26888'],0.26527,-0.33346,0.61328,True,no,single,,2.02339,0.04464,546,False,['0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48'],,,3.61927,,,,Down,78.0,3.0
60d657c9-5f63-4771-a85b-2cf8d507ec00,Ethereum,aave-v2,USDT,65147663,4.57831,,4.57831,,1.85343,-6.24561,1.90035,True,no,single,,2.61984,0.17816,379,False,['0xdAC17F958D2ee523a2206206994597C13D831ec7'],,,4.55489,,,,Down,69.0,2.0
26298be5-691a-42e6-817b-07f72e70cd4f,Ethereum,uniswap-v3,DAI-USDC,62329317,0.29704,,0.29704,,,-0.0225,0.04216,True,no,multi,0.05%,0.3526,0.08732,497,False,"['0x6b175474e89094c44da98b954eedeac495271d0f', '0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48']",-0.00102,0.18486,0.21962,1014466.76529,4416790.24996,,Stable/Up,73.0,2.0
2431aeec-d0b9-4e62-ab5e-ff8718ad45fc,Ethereum,arrakis-v1,DAI-USDC,61389342,0.2703,,0.2703,,0.0,0.0,0.12834,True,no,multi,,1.20008,0.09136,398,False,"['0x6b175474e89094c44da98b954eedeac495271d0f', '0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48']",,,0.22032,,,,Stable/Up,77.0,3.0
325ad2d6-70b1-48d7-a557-c2c99a036f87,Ethereum,morpho-aave,USDC,56814320,7.98772,,7.98772,,-2.11028,-10.14562,4.90621,True,no,single,,2.55079,0.14911,302,False,['0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48'],,,6.21936,,,,Down,87.0,3.0
57647093-2868-4e65-97ab-9cae8ec74e7d,Ethereum,compound,USDT,53643618,4.62312,0.0,4.62312,[],-0.49663,-3.80417,1.73426,True,no,single,,2.6146,0.10816,546,False,['0xdAC17F958D2ee523a2206206994597C13D831ec7'],,,3.57757,,,,Down,65.0,2.0
