pool,chain,project,symbol,tvlUsd,apyBase,apyReward,apy,rewardTokens,apyPct1D,apyPct7D,apyPct30D,stablecoin,ilRisk,exposure,poolMeta,mu,sigma,count,outlier,underlyingTokens,il7d,apyBase7d,apyMean30d,volumeUsd1d,volumeUsd7d,apyBaseInception,predictedClass,predictedProbability,binnedConfidence
0f45d730-b279-4629-8e11-ccb5cc3038b4,Ethereum,coinbase-wrapped-staked-eth,CBETH,2221800979,3.2692,,3.2692,,-0.38718,-0.40799,0.06828,False,no,single,,4.19544,0.06596,204,False,['0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2'],,,3.53851,,,,Stable/Up,64.0,2.0
d4b3c522-6127-4b89-bedf-83641cdcd2eb,Ethereum,rocket-pool,RETH,1633627194,3.54305,,3.54305,,0.03229,-1.57052,0.37743,False,no,single,,4.20401,0.04004,205,False,['0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2'],,,3.85379,,,,Stable/Up,64.0,2.0
0e458a5b-fd99-4667-8706-dd938934cb0c,Ethereum,aave-v2,STETH,1350599351,0.0,,0.0,,0.0,0.0,0.0,False,no,single,,0.0,0.0,378,False,['0xae7ab96520DE3A18E5e111B5EaAb095312D7fE84'],,,0.0,,,,,,
e6435aae-cbe9-4d26-ab2c-a4d533db9972,Ethereum,aave-v3,WSTETH,797430155,0.00699,,0.00699,,-0.00044,-0.00124,-0.00219,False,no,single,,0.00807,0.00051,184,False,['0x7f39C581F595B53c5cb19bD0b3f8dA6c935E2Ca0'],,,0.00903,,,,Stable/Up,60.0,1.0
ddd25534-e3d5-4e4e-9b99-d3102323ac61,Ethereum,liquity,WETH,752081279,,,0.0,,0.0,0.0,0.0,False,no,single,,0.0,0.0,287,False,['0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2'],,,0.0,,,,,,
1e5da7c6-59bb-49bd-9f97-4f4fceeffad4,Ethereum,compound,WETH,487407641,0.04351,0.0,0.04351,[],0.00351,0.00603,-0.02089,False,no,single,,0.15768,0.00707,545,False,['0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2'],,,0.05906,,,,Stable/Up,90.0,3.0
77020688-e1f9-443c-9388-e51ace15cc32,Ethereum,frax-ether,SFRXETH,458385614,5.16167,,5.16167,,-0.02656,0.26763,-0.09743,False,no,single,,6.26788,0.07383,205,False,['0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2'],,,5.23006,,,,Down,69.0,2.0
f2726d05-1f8d-4b9c-80e3-43d03d85d117,Ethereum,aave-v2,WETH,430993431,1.36037,,1.36037,,-0.04632,-0.15562,0.17187,False,no,single,,1.7769,0.12465,378,False,['0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2'],,,1.24479,,,,Stable/Up,71.0,2.0
57d30b9c-fc66-4ac2-b666-69ad5f410cce,Ethereum,curve-dex,ETH-STETH,407450455,2.20125,0.00112,2.20236,"['0x5A98FcBEA516Cf06857215779Fd812CA3beF1B32', '0xD533a949740bb3306d119CC777fa900bA034cd52']",0.15177,-0.15064,0.26208,False,no,multi,,5.49788,1.05494,544,False,"['0xEeeeeEeeeEeEeeEeEeEeeEEEeeeeEeeeeeeeEEeE', '0xae7ab96520DE3A18E5e111B5EaAb095312D7fE84']",-1e-05,,2.0621,,,,Down,51.0,1.0
072f6554-daa7-4708-80ba-371b896a89db,Ethereum,compound-v3,WETH,353216402,,,0.0,,0.0,0.0,0.0,False,no,single,USDC-pool,0.0,0.0,307,False,['0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2'],,,0.0,,,,,,
3b45941c-16cb-48c5-a490-16c6c4f1d86a,Ethereum,spark,WSTETH,311604387,0.00218,,0.00218,,9e-05,-0.02596,-0.01682,False,no,single,,0.01347,0.00073,91,False,['0x7f39C581F595B53c5cb19bD0b3f8dA6c935E2Ca0'],,,0.02269,,,,Stable/Up,79.0,3.0
